coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT006_MAPORG_SW4,MKT006,Bakersfield,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,35.3317418,-119.069506,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NW4,MKT006,Bakersfield,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,35.4137971,-119.0695567,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_NE4,MKT007,Portland,OR,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,45.5559549,-122.6208124,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_SE4,MKT007,Portland,OR,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,45.4740431,-122.6208969,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_SW4,MKT007,Portland,OR,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,45.4740431,-122.7373231,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_NW4,MKT007,Portland,OR,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,45.5559549,-122.7374076,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT008_MAPORG_NE4,MKT008,Vancouver,WA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,45.666595,-122.6170875,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT008_MAPORG_SE4,MKT008,Vancouver,WA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,45.5846849,-122.6171725,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT008_MAPORG_SW4,MKT008,Vancouver,WA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,45.5846849,-122.7338271,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT008_MAPORG_NW4,MKT008,Vancouver,WA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,45.666595,-122.7339121,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT009_MAPORG_NE4,MKT009,Seattle,WA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,47.6448027,-122.2694188,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT009_MAPORG_SE4,MKT009,Seattle,WA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,47.562921,-122.2695133,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT009_MAPORG_SW4,MKT009,Seattle,WA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,47.562921,-122.3904887,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT009_MAPORG_NW4,MKT009,Seattle,WA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,47.6448027,-122.3905832,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT010_MAPORG_NE4,MKT010,Spokane,WA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,47.7007343,-117.3618831,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT010_MAPORG_SE4,MKT010,Spokane,WA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,47.6188534,-117.3619778,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
