coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT003_MAPORG_SW4,MKT003,San Francisco,CA,GEOGRID21_V1,SW4,SW 4 mi,225.0,4,37.7382325,-122.4708239,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT003_MAPORG_NW4,MKT003,San Francisco,CA,GEOGRID21_V1,NW4,NW 4 mi,315.0,4,37.8202546,-122.470881,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_NE2,MKT004,Sacramento,CA,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,38.6025838,-121.4673113,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SE2,MKT004,Sacramento,CA,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,38.5615783,-121.4673261,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SW2,MKT004,Sacramento,CA,GEOGRID21_V1,SW2,SW 2 mi,225.0,2,38.5615783,-121.5195519,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT004_MAPORG_NW2,MKT004,Sacramento,CA,GEOGRID21_V1,NW2,NW 2 mi,315.0,2,38.6025838,-121.5195667,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT004_MAPORG_NE4,MKT004,Sacramento,CA,GEOGRID21_V1,NE4,NE 4 mi,45.0,4,38.6230776,-121.4411687,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SE4,MKT004,Sacramento,CA,GEOGRID21_V1,SE4,SE 4 mi,135.0,4,38.5410668,-121.4412281,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SW4,MKT004,Sacramento,CA,GEOGRID21_V1,SW4,SW 4 mi,225.0,4,38.5410668,-121.5456499,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT004_MAPORG_NW4,MKT004,Sacramento,CA,GEOGRID21_V1,NW4,NW 4 mi,315.0,4,38.6230776,-121.5457093,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
